description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Stack of 68 -> Stack of 67 and Stack of 1	1			0	18	70	68		1	stac							"usetype,qty=67"																													"usetype,qty=1"																																																										0
Stack of 69 -> Stack of 68 and Stack of 1	1			0	18	70	69		1	stac							"usetype,qty=68"																													"usetype,qty=1"																																																										0
Stack of 70 -> Stack of 69 and Stack of 1	1			0	18	70	70		1	stac							"usetype,qty=69"																													"usetype,qty=1"																																																										0
Stack of 71 -> Stack of 70 and Stack of 1	1			0	18	70	71		1	stac							"usetype,qty=70"																													"usetype,qty=1"																																																										0
Stack of 72 -> Stack of 71 and Stack of 1	1			0	18	70	72		1	stac							"usetype,qty=71"																													"usetype,qty=1"																																																										0
Stack of 73 -> Stack of 72 and Stack of 1	1			0	18	70	73		1	stac							"usetype,qty=72"																													"usetype,qty=1"																																																										0
Stack of 74 -> Stack of 73 and Stack of 1	1			0	18	70	74		1	stac							"usetype,qty=73"																													"usetype,qty=1"																																																										0
Stack of 75 -> Stack of 74 and Stack of 1	1			0	18	70	75		1	stac							"usetype,qty=74"																													"usetype,qty=1"																																																										0
Stack of 76 -> Stack of 75 and Stack of 1	1			0	18	70	76		1	stac							"usetype,qty=75"																													"usetype,qty=1"																																																										0
Stack of 77 -> Stack of 76 and Stack of 1	1			0	18	70	77		1	stac							"usetype,qty=76"																													"usetype,qty=1"																																																										0
Stack of 78 -> Stack of 77 and Stack of 1	1			0	18	70	78		1	stac							"usetype,qty=77"																													"usetype,qty=1"																																																										0
Stack of 79 -> Stack of 78 and Stack of 1	1			0	18	70	79		1	stac							"usetype,qty=78"																													"usetype,qty=1"																																																										0
Stack of 80 -> Stack of 79 and Stack of 1	1			0	18	70	80		1	stac							"usetype,qty=79"																													"usetype,qty=1"																																																										0
Stack of 81 -> Stack of 80 and Stack of 1	1			0	18	70	81		1	stac							"usetype,qty=80"																													"usetype,qty=1"																																																										0
Stack of 82 -> Stack of 81 and Stack of 1	1			0	18	70	82		1	stac							"usetype,qty=81"																													"usetype,qty=1"																																																										0
Stack of 83 -> Stack of 82 and Stack of 1	1			0	18	70	83		1	stac							"usetype,qty=82"																													"usetype,qty=1"																																																										0
Stack of 84 -> Stack of 83 and Stack of 1	1			0	18	70	84		1	stac							"usetype,qty=83"																													"usetype,qty=1"																																																										0
Stack of 85 -> Stack of 84 and Stack of 1	1			0	18	70	85		1	stac							"usetype,qty=84"																													"usetype,qty=1"																																																										0
Stack of 86 -> Stack of 85 and Stack of 1	1			0	18	70	86		1	stac							"usetype,qty=85"																													"usetype,qty=1"																																																										0
Stack of 87 -> Stack of 86 and Stack of 1	1			0	18	70	87		1	stac							"usetype,qty=86"																													"usetype,qty=1"																																																										0
Stack of 88 -> Stack of 87 and Stack of 1	1			0	18	70	88		1	stac							"usetype,qty=87"																													"usetype,qty=1"																																																										0
Stack of 89 -> Stack of 88 and Stack of 1	1			0	18	70	89		1	stac							"usetype,qty=88"																													"usetype,qty=1"																																																										0
Stack of 90 -> Stack of 89 and Stack of 1	1			0	18	70	90		1	stac							"usetype,qty=89"																													"usetype,qty=1"																																																										0
Stack of 91 -> Stack of 90 and Stack of 1	1			0	18	70	91		1	stac							"usetype,qty=90"																													"usetype,qty=1"																																																										0
Stack of 92 -> Stack of 91 and Stack of 1	1			0	18	70	92		1	stac							"usetype,qty=91"																													"usetype,qty=1"																																																										0
Stack of 93 -> Stack of 92 and Stack of 1	1			0	18	70	93		1	stac							"usetype,qty=92"																													"usetype,qty=1"																																																										0
Stack of 94 -> Stack of 93 and Stack of 1	1			0	18	70	94		1	stac							"usetype,qty=93"																													"usetype,qty=1"																																																										0
Stack of 95 -> Stack of 94 and Stack of 1	1			0	18	70	95		1	stac							"usetype,qty=94"																													"usetype,qty=1"																																																										0
Stack of 96 -> Stack of 95 and Stack of 1	1			0	18	70	96		1	stac							"usetype,qty=95"																													"usetype,qty=1"																																																										0
Stack of 97 -> Stack of 96 and Stack of 1	1			0	18	70	97		1	stac							"usetype,qty=96"																													"usetype,qty=1"																																																										0
Stack of 98 -> Stack of 97 and Stack of 1	1			0	18	70	98		1	stac							"usetype,qty=97"																													"usetype,qty=1"																																																										0
Stack of 99 -> Stack of 98 and Stack of 1	1			0	18	70	99		1	stac							"usetype,qty=98"																													"usetype,qty=1"																																																										0
Stack of 100 -> Stack of 99 and Stack of 1	1			0	18	70	100		1	stac							"usetype,qty=99"																													"usetype,qty=1"																																																										0
